varname,LABEL,file,MEMNAME,picsure_type
ID,Unique patient identifier (randomized),fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,continuous
SONO_LBL,F033 II.5 Film Label Number:,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,continuous
ABDOMINAL_SONO_FM20,F020 3. Abdominal Sonogram Performed,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
ABDRDRSIG,F033 II.2 Reader Signature:,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
VISIT_NBR,Visit Number,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
ABDRDRNBR,F033 II.3 Reader Number:,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,continuous
ABD_QLTY,F033 II.6 Current status of this reading,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
QLTY2_SP,"F033 II.6.A If returned for reprocessing, explain:",fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,continuous
QLTY3_SP,"F033 II.6.B If inadequate, explain:",fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,continuous
GALBLA,F033 III.1 Gallbladder,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
GBWALL,F033 III.1.A If Present,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
GBCDV,F033 III.1.B Color Doppler vascularity,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
GBNSTN,F033 III.1.C.1 Number of stones,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,continuous
GBMSTN,F033 III.1.C.2 Multiple stones not countable,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
GBLGST,F033 III.1.D Largest stone,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,continuous
GBLGSTNA,F033 III.1.DNA N/A,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
GBSFM,F033 III.1.E Stones freely mobile?,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
GBCBD,F033 III.1.F.1 Common bile duct,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
GBPAND,F033 III.1.F.2 Pancreatic duct,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
GBIHEP,F033 III.1.F.3 Intrahepatic ducts,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
GBSLDG,F033 III.1.G Sludge,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
GBPRFL,F033 III.1.H Pericholecystic fluid,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
SPLEEN,F033 III.2 Spleen,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
ACCSPL,F033 III.2.A Accessory spleen(s),fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,categorical
SPLCLN,F033 III.2.B Cephalocaudad length,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,continuous
SPLTRN,F033 III.2.C Transverse,fusi_abdominal_sonogram.csv,ABDOMINAL_SONOGRAM,continuous
