varname,LABEL,file,MEMNAME,picsure_type
ID,Unique patient identifier (randomized),fusii_abdsono.csv,ABDSONO,continuous
FORM_ID,Form ID,fusii_abdsono.csv,ABDSONO,continuous
SPEC_ID,Specimen ID,fusii_abdsono.csv,ABDSONO,categorical
VISIT_NBR,Visit Number,fusii_abdsono.csv,ABDSONO,categorical
ABDRDRSIG,F041 II.2. Reader Signature,fusii_abdsono.csv,ABDSONO,categorical
ABDRDRNBR,F041 II.3. Reader Number,fusii_abdsono.csv,ABDSONO,continuous
QLTY1_SP,"F041 II.4.A. If returned for reprocessing, explain:",fusii_abdsono.csv,ABDSONO,categorical
QLTY3_SP,"F041 II.4.B. If inadequate, explain:",fusii_abdsono.csv,ABDSONO,categorical
INHOM_SP,"F041 III.2.F.1 *1. If inhomogeneous, explain:",fusii_abdsono.csv,ABDSONO,categorical
RKRPEX,"F041 III.3.B.1. *1. If abnormal, explain:",fusii_abdsono.csv,ABDSONO,categorical
RKECEX,"F041 III.3.C.1. *1. If abnormal, explain:",fusii_abdsono.csv,ABDSONO,categorical
LKRPEX,"F041 III.4.B.1 * 1. If abnormal, explain:",fusii_abdsono.csv,ABDSONO,categorical
LKECEX,"F041 III.4.C.1. *1. If abnormal, explain:",fusii_abdsono.csv,ABDSONO,categorical
ABOABNEX,"F041 III.6.A. *A. If yes, explain:",fusii_abdsono.csv,ABDSONO,categorical
GBCDV,F041 III.1.B. Color Doppler Vascularity,fusii_abdsono.csv,ABDSONO,continuous
GBMSTN,F041 III.1.C.2. 2. Multiple stones not countable,fusii_abdsono.csv,ABDSONO,continuous
GBLGSTNA,F041 III.1.D.NA N/A,fusii_abdsono.csv,ABDSONO,continuous
GBCBD,F041 III.1.F.1. Common bile duct,fusii_abdsono.csv,ABDSONO,continuous
GBSLDG,F041 III.1.G. Sludge,fusii_abdsono.csv,ABDSONO,continuous
SPLEEN,F041 III.2. Spleen,fusii_abdsono.csv,ABDSONO,continuous
ACCSPL,F041 III.2.A. Accessory spleen(s),fusii_abdsono.csv,ABDSONO,continuous
SPLVOLND,F041 III.2.E.ND Spleen Volume Not Done,fusii_abdsono.csv,ABDSONO,continuous
SPLHOM,F041 III.2.F. Homogeneity,fusii_abdsono.csv,ABDSONO,continuous
RKID,F041 III.3. Right Kidney Present,fusii_abdsono.csv,ABDSONO,continuous
RKRPAR,F041 III.3.B. Renal parenchyma,fusii_abdsono.csv,ABDSONO,continuous
RKECHO,F041 III.3.C. Echogenicity,fusii_abdsono.csv,ABDSONO,continuous
LKID,F041 III.4. Left Kidney,fusii_abdsono.csv,ABDSONO,continuous
LKRPAR,F041 III.4.B. Renal parenchyma,fusii_abdsono.csv,ABDSONO,continuous
LKECHO,F041 III.4.C. Echogenicity,fusii_abdsono.csv,ABDSONO,continuous
GBPRFL,F041 III.1.H. Pericholecystic fluid,fusii_abdsono.csv,ABDSONO,continuous
ABD_QLTY,F041 II.4. Current Status of this Reading:,fusii_abdsono.csv,ABDSONO,categorical
GALBLA,F041 III.1. Gallbladder,fusii_abdsono.csv,ABDSONO,categorical
GBWALL,"F041 III.1.A If Present, thickness of wall",fusii_abdsono.csv,ABDSONO,categorical
GBSFM,F041 III.1.E. Stones Freely Mobile?,fusii_abdsono.csv,ABDSONO,categorical
SPLTRN,F041 III.2.C. Transverse,fusii_abdsono.csv,ABDSONO,categorical
RKVOL,F041 III.3.A. Estimated volume,fusii_abdsono.csv,ABDSONO,categorical
LKVOL,F041 III.4.A. Estimated volume,fusii_abdsono.csv,ABDSONO,categorical
TEST,Test Type,fusii_abdsono.csv,ABDSONO,categorical
ABOABN,F041 III.6. Any other abnormalities,fusii_abdsono.csv,ABDSONO,continuous
GBIHEP,F041 III.1.F.3. Intrahepatic ducts,fusii_abdsono.csv,ABDSONO,continuous
GBLGST,F041 III.1.D. Largest stone,fusii_abdsono.csv,ABDSONO,continuous
GBNSTN,F041 III.1.C.1. 1. Number of Stones,fusii_abdsono.csv,ABDSONO,continuous
GBPAND,F041 III.1.F.2. Pancreatic duct,fusii_abdsono.csv,ABDSONO,continuous
LVRENL,F041 III.5. Liver enlarged,fusii_abdsono.csv,ABDSONO,continuous
SPLANP,F041 III.2.D. Anterior - Posterior Length,fusii_abdsono.csv,ABDSONO,continuous
SPLCLN,F041 III.2.B. Cephalocaudad length,fusii_abdsono.csv,ABDSONO,continuous
SPLVOL,F041 III.2.E. Estimated total spleen volume,fusii_abdsono.csv,ABDSONO,continuous
VISIT_DT_DAYS,Visit Date (recode: number of days after date of initial follow-up visit),fusii_abdsono.csv,ABDSONO,continuous
REVIEW_RETURN_DATE_DAYS,REVIEW RETURN DATE (recode: number of days after date of initial follow-up visit),fusii_abdsono.csv,ABDSONO,continuous
ID,Unique patient identifier (randomized),fusii_creatinine.csv,CREATININE,continuous
SPECIMEN_TYPE,Specimen Type,fusii_creatinine.csv,CREATININE,categorical
VISIT_NBR,Visit Number,fusii_creatinine.csv,CREATININE,categorical
CREATININE_LABEL,F003 II.6A Label Number:,fusii_creatinine.csv,CREATININE,categorical
CREATININE_SHIP_HR,F003 II.5D.HR Time Shipped:,fusii_creatinine.csv,CREATININE,continuous
CREATININE_SHIP_MN,F003 II.5D.MN Minute creatinine shipped,fusii_creatinine.csv,CREATININE,continuous
CREATININE_TM,Creatinine/BUN Time Collected,fusii_creatinine.csv,CREATININE,categorical
CREATININE_ND,Creatinine/BUN Not Done,fusii_creatinine.csv,CREATININE,continuous
CREATININE_SENT_YN,Was the sample sent to GHSU Core Lab?,fusii_creatinine.csv,CREATININE,continuous
CREATININE_LBL,F003 II.6A Label Number: (5 Digits only),fusii_creatinine.csv,CREATININE,continuous
SPEC_ID,Specimen ID,fusii_creatinine.csv,CREATININE,categorical
S_CREAT,Serum Creatinine,fusii_creatinine.csv,CREATININE,continuous
BUN,Blood Urea Nitrogen,fusii_creatinine.csv,CREATININE,continuous
CONDITION,condition,fusii_creatinine.csv,CREATININE,categorical
COMMENTS,Comments,fusii_creatinine.csv,CREATININE,categorical
VISIT_DT_DAYS,Visit Date (recode: number of days after date of initial follow-up visit),fusii_creatinine.csv,CREATININE,continuous
CREATININE_DT_DAYS,F003 II.6B Date Collected: (recode: number of days after date of initial follow-up visit),fusii_creatinine.csv,CREATININE,continuous
CREATININE_SENT_DT_DAYS,D. Sample sent Date: (recode: number of days after date of initial follow-up visit),fusii_creatinine.csv,CREATININE,continuous
COLLECTDATE_DAYS,Collect Date (recode: number of days after date of initial follow-up visit),fusii_creatinine.csv,CREATININE,continuous
DATE_RECEIVED_DAYS,Date Received (recode: number of days after date of initial follow-up visit),fusii_creatinine.csv,CREATININE,continuous
ID,Unique patient identifier (randomized),fusii_cystatin.csv,CYSTATIN,continuous
SPECIMEN_TYPE,Specimen Type,fusii_cystatin.csv,CYSTATIN,categorical
VISIT_NBR,Visit Number,fusii_cystatin.csv,CYSTATIN,categorical
CYSTATIN_LABEL,F003 II.4A Label Number:,fusii_cystatin.csv,CYSTATIN,categorical
CYSTATIN_LBL,F003 II.4A Label Number: (5 Digits only),fusii_cystatin.csv,CYSTATIN,continuous
CYSTATIN_ND,cystatin/BUN Not Done,fusii_cystatin.csv,CYSTATIN,continuous
CYSTATIN_SENT_YN,Was the sample sent to Baylor Core Lab?,fusii_cystatin.csv,CYSTATIN,continuous
CYSTATIN_SHIP_HR,F003 II.3D.HR Time Shipped:,fusii_cystatin.csv,CYSTATIN,continuous
CYSTATIN_SHIP_MN,F003 II.3D.MN Minute cystatin shipped,fusii_cystatin.csv,CYSTATIN,continuous
CYSTATIN_TM,cystatin/BUN Time Collected,fusii_cystatin.csv,CYSTATIN,categorical
CYSTATIN_C_1,1st Cystatin C,fusii_cystatin.csv,CYSTATIN,continuous
CYSTATIN_C_2,2nd Cystatin C,fusii_cystatin.csv,CYSTATIN,continuous
CYSTATIN_C_AVERAGE,Average Cystatin C,fusii_cystatin.csv,CYSTATIN,continuous
VISIT_DT_DAYS,F003 Visit Date (recode: number of days after date of initial follow-up visit),fusii_cystatin.csv,CYSTATIN,continuous
CYSTATIN_DT_DAYS,F003 II.4B Date Collected: (recode: number of days after date of initial follow-up visit),fusii_cystatin.csv,CYSTATIN,continuous
CYSTATIN_SENT_DT_DAYS,D. Sample sent Date: (recode: number of days after date of initial follow-up visit),fusii_cystatin.csv,CYSTATIN,continuous
ID,Unique patient identifier (randomized),fusii_echo.csv,ECHO,continuous
VISIT_NBR,Visit Number,fusii_echo.csv,ECHO,categorical
LABEL_FM32,F032 II.5 Label Number:,fusii_echo.csv,ECHO,categorical
LABEL5,Label (5 digit format),fusii_echo.csv,ECHO,continuous
ECHO_COMP,F032 III.1 Was the echocardiogram completed?,fusii_echo.csv,ECHO,continuous
ECHO_SENT_YN,1. Was the Echocardiogram data sent to Core Lab?,fusii_echo.csv,ECHO,continuous
FORM_INSTANCE_ID,Form Instance ID,fusii_echo.csv,ECHO,continuous
FORM_ID,Form ID,fusii_echo.csv,ECHO,continuous
REVISION,Form Revision,fusii_echo.csv,ECHO,continuous
SEQ_NBR,Sequence Number,fusii_echo.csv,ECHO,continuous
