varname,LABEL,file,MEMNAME,picsure_type
ANONID,ANONYMIZED ID #,phase1_r02.csv,R02,continuous
F02CYCLE,UPDATE NUMBER,phase1_r02.csv,R02,continuous
F02RSP,INFORMANT,phase1_r02.csv,R02,categorical
F02MS,MARITAL STATUS,phase1_r02.csv,R02,categorical
F02ED,HIGHEST LEVEL OF EDUCATION COMPLETED,phase1_r02.csv,R02,categorical
F02SCHL,CURRENTLY STUDENT,phase1_r02.csv,R02,categorical
F02WRKS,CURRENT WORK STATUS,phase1_r02.csv,R02,categorical
F02LWK,MONTHS WORKED AT JOB,phase1_r02.csv,R02,categorical
F02HWK,HOURS WORKED LAST WEEK,phase1_r02.csv,R02,categorical
F02HWKU,HOURS WORKED PER WEEK USUALLY,phase1_r02.csv,R02,categorical
F02EMPA,ARGUMENT AT WORK LAST YEAR,phase1_r02.csv,R02,categorical
F02EMPF,LOST JOB WITHIN LAST YEAR,phase1_r02.csv,R02,categorical
F02EMPQ,QUIT JOB WITHIN LAST YEAR,phase1_r02.csv,R02,categorical
F02PGJ,PROBLEMS GETTING NEW JOB,phase1_r02.csv,R02,categorical
F02LJM,LEFT JOB FOR MEDICAL REASONS,phase1_r02.csv,R02,categorical
F02INC,INCOME FROM OCCUPATION,phase1_r02.csv,R02,categorical
F02MIL_R,ACTIVE DUTY FOR MILITARY SERVICE,phase1_r02.csv,R02,categorical
F02OC_R,JOB CODE,phase1_r02.csv,R02,categorical
JF02DATE,DATE OF VISIT - DAYS SINCE DOE,phase1_r02.csv,R02,continuous
ANONID,ANONYMIZED ID #,phase1_r03.csv,R03,continuous
F03CYCLE,UPDATE NUMBER,phase1_r03.csv,R03,continuous
F03LHH,LINE NUMBER OF HOUSEHOLD HEAD,phase1_r03.csv,R03,categorical
F03RSP,LINE NUMBER OF RESPONDENT,phase1_r03.csv,R03,categorical
F03SEXH,SEX (HOUSEHOLD HEAD),phase1_r03.csv,R03,categorical
F03RACEH,RACE (HOUSEHOLD HEAD),phase1_r03.csv,R03,categorical
F03MSH,MARITAL STATUS (HOUSEHOLD HEAD),phase1_r03.csv,R03,categorical
F03EDH,HIGHEST LEVEL OF EDUCATION COMPLETED,phase1_r03.csv,R03,categorical
F03SCHLH,CURRENTLY A STUDENT (HOUSEHOLD HEAD),phase1_r03.csv,R03,categorical
F03WRKSH,CURRENT WORK STATUS (HOUSEHOLD HEAD),phase1_r03.csv,R03,categorical
F03LWKH,MONTHS AT CURRENT JOB (HOUSEHOLD HEAD),phase1_r03.csv,R03,categorical
F03HWKH,HRS WORKED LAST WEEK (HOUSEHOLD HEAD),phase1_r03.csv,R03,categorical
F03HWKUH,HOURS WORKED PER WEEK USUALLY,phase1_r03.csv,R03,categorical
F03INCH,INCOME FROM OCCUPATION (HOUSEHOLD HEAD),phase1_r03.csv,R03,categorical
F04RSP,INFORMANT,phase1_r03.csv,R03,categorical
F04SINC,SOURCES OF INCOME OUTSIDE FAMILY,phase1_r03.csv,R03,categorical
F04INCF,TOTAL FAMILY INCOME,phase1_r03.csv,R03,categorical
F04NSF,NUMBER OF PEOPLE WHO HELP SUPPORT FAMILY,phase1_r03.csv,R03,categorical
F04HSE,TYPE OF HOUSING,phase1_r03.csv,R03,categorical
F04OWN,OWN HOME OR RENT,phase1_r03.csv,R03,categorical
F04RMS,NUMBER OF ROOMS IN HOME,phase1_r03.csv,R03,categorical
F04LNBD,HOW LONG IN NEIGHBORHOOD (MONTHS),phase1_r03.csv,R03,categorical
F04DAYL1,PATIENT UNDER 12 (LINE),phase1_r03.csv,R03,categorical
F04DAYL2,PATIENT UNDER 12 (LINE),phase1_r03.csv,R03,categorical
F04DAYL3,PATIENT UNDER 12 (LINE),phase1_r03.csv,R03,categorical
F04DAYL4,PATIENT UNDER 12 (LINE),phase1_r03.csv,R03,categorical
F04DAYL5,PATIENT UNDER 12 (LINE),phase1_r03.csv,R03,categorical
F04DAY1,WHO STAYS WITH PATIENT,phase1_r03.csv,R03,categorical
F04DAY2,WHO STAYS WITH PATIENT,phase1_r03.csv,R03,categorical
F04DAY3,WHO STAYS WITH PATIENT,phase1_r03.csv,R03,categorical
F04DAY4,WHO STAYS WITH PATIENT,phase1_r03.csv,R03,categorical
F04DAY5,WHO STAYS WITH PATIENT,phase1_r03.csv,R03,categorical
F04MDCL1,PATIENT (LINE),phase1_r03.csv,R03,categorical
F04MDCL2,PATIENT (LINE),phase1_r03.csv,R03,categorical
F04MDCL3,PATIENT (LINE),phase1_r03.csv,R03,categorical
F04MDCL4,PATIENT (LINE),phase1_r03.csv,R03,categorical
F04MDCL5,PATIENT (LINE),phase1_r03.csv,R03,categorical
F04MDC1,WHERE WENT FOR CARE BEFORE,phase1_r03.csv,R03,categorical
F04MDC2,WHERE WENT FOR CARE BEFORE,phase1_r03.csv,R03,categorical
F04MDC3,WHERE WENT FOR CARE BEFORE,phase1_r03.csv,R03,categorical
F04MDC4,WHERE WENT FOR CARE BEFORE,phase1_r03.csv,R03,categorical
F04MDC5,WHERE WENT FOR CARE BEFORE,phase1_r03.csv,R03,categorical
F04MDEX,MEDICAL EXPENSES LAST YEAR,phase1_r03.csv,R03,categorical
F04HINS,HEALTH INSURANCE (OR OTHER AID),phase1_r03.csv,R03,categorical
F04INSH,INSURANCE COVER HOSPITAL BILLS,phase1_r03.csv,R03,categorical
F04INSDR,INSURANCE COVER DOCTOR BILLS,phase1_r03.csv,R03,categorical
F04INSM,INSURANCE COVER MEDICINE,phase1_r03.csv,R03,categorical
F04TRNL1,PATIENT (LINE),phase1_r03.csv,R03,categorical
F04TRNL2,PATIENT (LINE),phase1_r03.csv,R03,categorical
F04TRNL3,PATIENT (LINE),phase1_r03.csv,R03,categorical
F04TRNL4,PATIENT (LINE),phase1_r03.csv,R03,categorical
F04TRNL5,PATIENT (LINE),phase1_r03.csv,R03,categorical
F04TRN1,TRANSPORTATION TO CLINIC,phase1_r03.csv,R03,categorical
F04TRN2,TRANSPORTATION TO CLINIC,phase1_r03.csv,R03,categorical
F04TRN3,TRANSPORTATION TO CLINIC,phase1_r03.csv,R03,categorical
F04TRN4,TRANSPORTATION TO CLINIC,phase1_r03.csv,R03,categorical
F04TRN5,TRANSPORTATION TO CLINIC,phase1_r03.csv,R03,categorical
F04TRVL,MINUTES TO TRAVEL TO CLINIC,phase1_r03.csv,R03,categorical
F04COST,COST OF TRANSPORTATION TO CLINIC,phase1_r03.csv,R03,continuous
F03OCH_R,JOB CODE (HOUSEHOLD HEAD),phase1_r03.csv,R03,categorical
JF03DATE,DATE OF VISIT - DAYS SINCE DOE,phase1_r03.csv,R03,continuous
JF04DATE,DATE OF INTERVIEW - DAYS SINCE DOE,phase1_r03.csv,R03,continuous
ANONID,ANONYMIZED ID #,phase1_r04.csv,R04,continuous
C_EPS,HINC II - EPSILON RESULT,phase1_r04.csv,R04,categorical
C_XMN,XMN-G GAMMA RESULT,phase1_r04.csv,R04,categorical
C_GGAM,HIND III - G GAMMA RESULT,phase1_r04.csv,R04,categorical
C_AGAM,HIND III-A GAMMA RESULT,phase1_r04.csv,R04,categorical
C_PSIB,HINC II - PSI BETA RESULT,phase1_r04.csv,R04,categorical
C_PSIB3,HINC II - 3 PSI BETA RESULT,phase1_r04.csv,R04,categorical
C_HAPF,HINF I 5 B RESULT,phase1_r04.csv,R04,categorical
C_HAP5,HAPLOTYPE BASED ON 5 RFLP SITES,phase1_r04.csv,R04,categorical
C_HAP7,HAPLOTYPE BASED ON 7 RFLP SITES,phase1_r04.csv,R04,categorical
HAPCOMPL,HAPLOTYPING STATUS BASED ON 7 RFLP SITES,phase1_r04.csv,R04,categorical
HAP5COMP,HAS RESULTS BASED ON 5 RFLP SITES,phase1_r04.csv,R04,categorical
PROBRSLT,"PROBLEM WITH ""DUPLICATE"" RESULTS?",phase1_r04.csv,R04,categorical
DISCREP1,DISCREPANCY 1,phase1_r04.csv,R04,categorical
DISCREP2,DISCREPANCY 2,phase1_r04.csv,R04,categorical
DISCREP3,DISCREPANCY 3,phase1_r04.csv,R04,categorical
DISCREP4,DISCREPANCY 4,phase1_r04.csv,R04,categorical
F04ALPHA,NUMBER OF ALPHA GENES,phase1_r04.csv,R04,continuous
F04REV,REVIEWED,phase1_r04.csv,R04,continuous
ANONID,ANONYMIZED ID #,phase1_r05.csv,R05,continuous
F05CYCLE,CYCLE NUMBER OF VISIT,phase1_r05.csv,R05,continuous
F05RSP,INFORMANT,phase1_r05.csv,R05,categorical
F05MS,MARITAL STATUS,phase1_r05.csv,R05,categorical
