"variable_id","variable_name","variable_hct_status","form_id","variable_was_computed"
"flag_lancet","Cases from 2019 Lancet Heamatology publication",NA,NA,"Yes"
"flag_blood","Cases from 2016 Blood publication",NA,NA,"Yes"
"country","Country of HCT institution",NA,NA,"Yes"
"age","Patient age at transplant, years","pre-HCT","2400 v5 (1)","Yes"
"agegpff","Patient age at transplant, years","pre-HCT","2400 v5 (1)","Yes"
"sex","Sex","pre-HCT","2400 v5 (2)","Yes"
"ethnicit","Ethnicity","pre-HCT","2400 v5 (3)","Yes"
"racegp","Race","pre-HCT","2400 v5 (4)","Yes"
"kps","Karnofsky/Lansky score at HCT","pre-HCT","2400 v5 (90) Q92-93","Yes"
"hctcigpf","HCT-comorbidity index","pre-HCT","2400 v5  (95-153)","Yes"
"subdis1f","Disease genotype","pre-HCT","2402 v3 (322)","No"
"txnum","Transplant number","pre-HCT",NA,"Yes"
"txtype","Transplant type","pre-HCT","2400 v5 (31)","Yes"
"donorf","Donor type","pre-HCT","2400 v5 (31), 2005 v6 (14-34)","Yes"
"graftype","Graft type","pre-HCT","2400 v5 (46-48)","Yes"
"condgrpf","Conditioning intensity","pre-HCT","2400 v5 (159)","Yes"
"condgrp_final","Conditioning regimen","pre-HCT","2400 v5 (160-315)","Yes"
"atgf","ATG/Alemtuzumab given as conditioning regimen/GVHD prophylaxis","pre-HCT","2400 v5 (169,318,267,328)","Yes"
"gvhd_final","GVHD prophylaxis","pre-HCT","2400 v5 (317-340),2006 v4 (71,87)","Yes"
"hla_final","Donor-recipient HLA matching","pre-HCT","2005 v6 (14-34)","Yes"
"rcmvpr","Recipient CMV serostatus","pre-HCT","2400 v5 (62)","Yes"
"yeargpf","Year of transplant","pre-HCT","2400 v5 (11)","Yes"
"yeartx","Year of transplant","pre-HCT","2400 v5 (11)","Yes"
"dead","Survival status at last contact","post-HCT","2450 v4 (2), 2100 v4 (2)","Yes"
"intxsurv","Time from HCT to date of last contact or death, months","post-HCT","2400 v5 (11), 2450 v4 (1),2100 v4 (1,2)
","Yes"
"efs","Event-free survival (Graft failure or death are the events)",NA,"2400 v5(11),2450 v4(1,2,7,14,16,118,110,),2100 v4 (1,2,6,7,8,9,10,11,12)","Yes"
"gf","Graft failure","post-HCT","2400 v5(11),2450 v4(1,2,7,14,16,118,110),2100 v4 (6,7,8,9,10,11,12,89-106)","Yes"
"dwogf","Death without graft failure","post-HCT","2400 v5(11),2450 v4(1,2,7,14,16,118,110),2100 v4 (1,2,6,7,8,9,10,11,12)","Yes"
"intxgf","Time from HCT to graft failure, months","post-HCT","2400 v5(11),2450 v4(1,2,7,14,16,118,110),2100 v4 (1,2,6,7,8,9,10,11,12)","Yes"
"anc","Neutrophil engraftment","post-HCT","2450 v4(14), 2100 v4(6,7,8,9,10,11,12)","Yes"
"dwoanc","Death without neutrophil engraftment","post-HCT","2450 v4(2,14), 2100 v4(1,2,6,7,8,9,10,11,12)","Yes"
"intxanc","Time from HCT to neutrophil engraftment, months","post-HCT","2400 v5(11),2450 v4(1,15), 2100 v4(1,2,7,9,10,12)","Yes"
"platelet","Platelet recovery",NA,"2450 v4(17), 2100 v4(13)","Yes"
"dwoplatelet","Death without platelet recovery","post-HCT","2400 v5(11),2450 v4(1,2,17), 2100 v4(1,2,13)","Yes"
"intxplatelet","Time from HCT to platelet recovery, months","post-HCT","2400 v5(11), 2450 v4(18),2100 v4 (1,13,14)","Yes"
