varname,LABEL,file,MEMNAME,picsure_type
RAND_ID,,clinical_courses.csv,COURSES,categorical
VIS,Visit,clinical_courses.csv,COURSES,continuous
STOPSTAT,,clinical_courses.csv,COURSES,categorical
VIS_DT,Date visit completed (days since enrollment),clinical_courses.csv,COURSES,continuous
EXP,Vis Exp?,clinical_courses.csv,COURSES,continuous
EXP_DT,Date visit expected  (days since enrollment),clinical_courses.csv,COURSES,continuous
TOX_STAT,,clinical_courses.csv,COURSES,categorical
COURSE,Course of study treatment,clinical_courses.csv,COURSES,continuous
WEEK,,clinical_courses.csv,COURSES,continuous
CALVIN,Placebo simulation,clinical_courses.csv,COURSES,categorical
START_DT,Date course to start (days since enrollment),clinical_courses.csv,COURSES,continuous
WEEKS,Number of weeks in course,clinical_courses.csv,COURSES,continuous
WEIGHT,Weight used to calculate dosage,clinical_courses.csv,COURSES,continuous
TDOSE_R,Total dosage recommended,clinical_courses.csv,COURSES,continuous
TDOSE_A,Total dosage actually administered,clinical_courses.csv,COURSES,continuous
RDOSE_R,Dosage rate recommended,clinical_courses.csv,COURSES,continuous
RDOSE_A,Dosage rate actually administered,clinical_courses.csv,COURSES,continuous
NUM200,Number of 200 mg capsules/day,clinical_courses.csv,COURSES,continuous
NUM500,Number of 500 mg capsules/day,clinical_courses.csv,COURSES,continuous
TX_VIS,Visit RX to start,clinical_courses.csv,COURSES,continuous
CONFIRM,,clinical_courses.csv,COURSES,categorical
RX_500,,clinical_courses.csv,COURSES,continuous
RX_200,,clinical_courses.csv,COURSES,continuous
RAND_ID,,clinical_crc.csv,CRC,categorical
VISIT,,clinical_crc.csv,CRC,categorical
VIS,,clinical_crc.csv,CRC,continuous
VIS_DT,Date of medical contact (days since enrollment),clinical_crc.csv,CRC,continuous
F25_RCV,Date Form 25received    (days since enrollment),clinical_crc.csv,CRC,continuous
F25_COMP,Form 25 attachments,clinical_crc.csv,CRC,categorical
F44A_SNT,Date sent to RdrA       (days since enrollment),clinical_crc.csv,CRC,continuous
F44A_RCV,Date receivedfrom RDR A (days since enrollment),clinical_crc.csv,CRC,continuous
RVWRA,ID of RDR A,clinical_crc.csv,CRC,continuous
F44B_SNT,Date sent to RdrB       (days since enrollment),clinical_crc.csv,CRC,continuous
F44B_RCV,Date receivedfrom RDR B (days since enrollment),clinical_crc.csv,CRC,continuous
RVWRB,ID of RDR B,clinical_crc.csv,CRC,continuous
F44C_SNT,Date sent to RdrC       (days since enrollment),clinical_crc.csv,CRC,continuous
F44C_RCV,Date receivedfrom RDR C (days since enrollment),clinical_crc.csv,CRC,continuous
RVWRC,ID of RDR C,clinical_crc.csv,CRC,continuous
STATUS,Status of case,clinical_crc.csv,CRC,categorical
COMMENT1,,clinical_crc.csv,CRC,categorical
COMMENT2,,clinical_crc.csv,CRC,categorical
CLASSDAT,Date returned by two reviewers (days since enrollment),clinical_crc.csv,CRC,continuous
IN_PAT,,clinical_crc.csv,CRC,continuous
RAND_ID,,clinical_curstops.csv,CURSTOPS,categorical
STOPTYPE,,clinical_curstops.csv,CURSTOPS,categorical
STOP_DT,Stop Date (days since enrollment),clinical_curstops.csv,CURSTOPS,continuous
DEATH_DT,Death Date (days since enrollment),clinical_curstops.csv,CURSTOPS,continuous
RSTRT_DT,Restart Date (days since enrollment),clinical_curstops.csv,CURSTOPS,continuous
STOP_REA,,clinical_curstops.csv,CURSTOPS,categorical
DRUG,,clinical_curstops.csv,CURSTOPS,categorical
MAX_DOSE,,clinical_curstops.csv,CURSTOPS,continuous
MTD,,clinical_curstops.csv,CURSTOPS,continuous
CLOSE_DT,Close Date (days since enrollment),clinical_curstops.csv,CURSTOPS,continuous
STOP_2YR,,clinical_curstops.csv,CURSTOPS,continuous
MAX_MTD,,clinical_curstops.csv,CURSTOPS,continuous
PREG_OTH,,clinical_curstops.csv,CURSTOPS,continuous
RAND_ID,,clinical_endp96a.csv,ENDP96A,categorical
VIS,,clinical_endp96a.csv,ENDP96A,continuous
IN_PAT,,clinical_endp96a.csv,ENDP96A,continuous
PRESDATI,Presentation Date (days since enrollment + time),clinical_endp96a.csv,ENDP96A,continuous
CRISIS25,,clinical_endp96a.csv,ENDP96A,continuous
DEATH_DT,Death Date (days since enrollment),clinical_endp96a.csv,ENDP96A,categorical
DRUG,,clinical_endp96a.csv,ENDP96A,continuous
CLOSE_DT,Close Date (days since enrollment),clinical_endp96a.csv,ENDP96A,continuous
LT2YRMCS,,clinical_endp96a.csv,ENDP96A,continuous
LAST_DAY,,clinical_endp96a.csv,ENDP96A,categorical
N_CRIS01,,clinical_endp96a.csv,ENDP96A,continuous
TOPRANK,,clinical_endp96a.csv,ENDP96A,continuous
YRS_EVT,,clinical_endp96a.csv,ENDP96A,continuous
YRS_FUP,,clinical_endp96a.csv,ENDP96A,continuous
YRS_DTH,,clinical_endp96a.csv,ENDP96A,continuous
RAWRANK,,clinical_endp96a.csv,ENDP96A,continuous
NCRISQ01,,clinical_endp96a.csv,ENDP96A,continuous
NCRISQ02,,clinical_endp96a.csv,ENDP96A,continuous
NCRISQ03,,clinical_endp96a.csv,ENDP96A,continuous
NCRISQ04,,clinical_endp96a.csv,ENDP96A,continuous
NCRISQ05,,clinical_endp96a.csv,ENDP96A,continuous
NCRISQ06,,clinical_endp96a.csv,ENDP96A,continuous
NCRISQ07,,clinical_endp96a.csv,ENDP96A,continuous
NCRISQ08,,clinical_endp96a.csv,ENDP96A,continuous
N_CRISES,,clinical_endp96a.csv,ENDP96A,continuous
MOSFUP01,,clinical_endp96a.csv,ENDP96A,continuous
MOSFUP02,,clinical_endp96a.csv,ENDP96A,continuous
MOSFUP03,,clinical_endp96a.csv,ENDP96A,continuous
MOSFUP04,,clinical_endp96a.csv,ENDP96A,continuous
MOSFUP05,,clinical_endp96a.csv,ENDP96A,continuous
MOSFUP06,,clinical_endp96a.csv,ENDP96A,continuous
MOSFUP07,,clinical_endp96a.csv,ENDP96A,continuous
MOSFUP08,,clinical_endp96a.csv,ENDP96A,continuous
CRATE_VW,,clinical_endp96a.csv,ENDP96A,continuous
CRISRATE,AVOC/year < 2 yrs,clinical_endp96a.csv,ENDP96A,continuous
RANK,RANK FOR VARIABLE CRATE_VW,clinical_endp96a.csv,ENDP96A,continuous
RAND_ID,,clinical_f44_keep.csv,F44_KEEP,categorical
FORM,,clinical_f44_keep.csv,F44_KEEP,continuous
REV,,clinical_f44_keep.csv,F44_KEEP,continuous
CURCLIN,,clinical_f44_keep.csv,F44_KEEP,continuous
VISIT,,clinical_f44_keep.csv,F44_KEEP,categorical
VIS,,clinical_f44_keep.csv,F44_KEEP,continuous
PAIN_EVT,,clinical_f44_keep.csv,F44_KEEP,continuous
PAIN_NSC,,clinical_f44_keep.csv,F44_KEEP,continuous
PAIN_SC,,clinical_f44_keep.csv,F44_KEEP,continuous
CHEST_SY,,clinical_f44_keep.csv,F44_KEEP,continuous
HEPSEQ,,clinical_f44_keep.csv,F44_KEEP,continuous
HEMATUR,,clinical_f44_keep.csv,F44_KEEP,continuous
STROKE,,clinical_f44_keep.csv,F44_KEEP,continuous
FATAL,,clinical_f44_keep.csv,F44_KEEP,continuous
CRISIS,,clinical_f44_keep.csv,F44_KEEP,continuous
DIAG_A,,clinical_f44_keep.csv,F44_KEEP,categorical
DIAG_B,,clinical_f44_keep.csv,F44_KEEP,categorical
DIAG_C,,clinical_f44_keep.csv,F44_KEEP,categorical
UNCERT,,clinical_f44_keep.csv,F44_KEEP,continuous
ADD_INFO,,clinical_f44_keep.csv,F44_KEEP,continuous
COMP_DT,Completion Date (days since enrollment),clinical_f44_keep.csv,F44_KEEP,continuous
CRC_MEM,,clinical_f44_keep.csv,F44_KEEP,continuous
RCVD_DT,Received Date (days since enrollment),clinical_f44_keep.csv,F44_KEEP,continuous
CODER44,,clinical_f44_keep.csv,F44_KEEP,categorical
PRESDATI,Presentation Date (days since enrollment + time),clinical_f44_keep.csv,F44_KEEP,continuous
RAND_ID,,clinical_form01.csv,FORM01,categorical
FORM,,clinical_form01.csv,FORM01,continuous
REV,,clinical_form01.csv,FORM01,continuous
VIS,Age at QV,clinical_form01.csv,FORM01,continuous
CSSCD,Age at QV,clinical_form01.csv,FORM01,continuous
AGE_QV,Age at QV,clinical_form01.csv,FORM01,continuous
AGE18,,clinical_form01.csv,FORM01,categorical
SOON18,,clinical_form01.csv,FORM01,continuous
N_CRIS01,,clinical_form01.csv,FORM01,continuous
LT3_01,,clinical_form01.csv,FORM01,categorical
PROTEC01,,clinical_form01.csv,FORM01,categorical
CONSENT,,clinical_form01.csv,FORM01,categorical
TRA_CHR,,clinical_form01.csv,FORM01,categorical
TR2MO_01,,clinical_form01.csv,FORM01,categorical
TRA_LKLY,,clinical_form01.csv,FORM01,categorical
STROK_HX,,clinical_form01.csv,FORM01,categorical
CHF_HX,,clinical_form01.csv,FORM01,categorical
PREG_01,,clinical_form01.csv,FORM01,categorical
SBTHAL,,clinical_form01.csv,FORM01,categorical
IMUNOSUP,,clinical_form01.csv,FORM01,categorical
RADTHRPY,,clinical_form01.csv,FORM01,categorical
HYDRX_HX,,clinical_form01.csv,FORM01,categorical
OXYCOD30,,clinical_form01.csv,FORM01,categorical
THEOPHYL,,clinical_form01.csv,FORM01,categorical
HORMONE,,clinical_form01.csv,FORM01,categorical
CA_CHBLK,,clinical_form01.csv,FORM01,categorical
ANTISIKL,,clinical_form01.csv,FORM01,categorical
EL_CREAT,,clinical_form01.csv,FORM01,categorical
EL_ALT,,clinical_form01.csv,FORM01,categorical
IRON_DEF,,clinical_form01.csv,FORM01,categorical
FOLA_DEF,,clinical_form01.csv,FORM01,categorical
B12_DEF,,clinical_form01.csv,FORM01,categorical
INEL_01,,clinical_form01.csv,FORM01,categorical
