varname,LABEL,file,MEMNAME,picsure_type
RAND_ID,Randomized ID,ext1_demo.csv,DEMO,categorical
RACE,Ethnicity,ext1_demo.csv,DEMO,categorical
GENDER,Gender,ext1_demo.csv,DEMO,categorical
PFUENRO,"MSH PFU Enrolled 1=Yes, 0=NO",ext1_demo.csv,DEMO,continuous
RAND_ID,Randomized ID,ext1_fm41.csv,FM41,categorical
AV,Annual Visit,ext1_fm41.csv,FM41,categorical
HOUSE,The patients primary residence,ext1_fm41.csv,FM41,categorical
ROOMS,How many rooms are in the patient's resi,ext1_fm41.csv,FM41,continuous
EDUCATN,How much school has the patient complete,ext1_fm41.csv,FM41,categorical
INCOME_P,Patients personal income last year,ext1_fm41.csv,FM41,categorical
INCOME_H,Total household income last year,ext1_fm41.csv,FM41,categorical
MARITAL,Patients marital status,ext1_fm41.csv,FM41,categorical
PERSONS,Total number of patients in household,ext1_fm41.csv,FM41,continuous
PRIVINS,Private insurance,ext1_fm41.csv,FM41,continuous
MEDICARE,Medicare,ext1_fm41.csv,FM41,continuous
MEDICAID,Medicaid,ext1_fm41.csv,FM41,continuous
STATEINS,State program,ext1_fm41.csv,FM41,continuous
EMPLYMNT,Employment status,ext1_fm41.csv,FM41,categorical
UNEMP_YR,Time since last employed - yrs,ext1_fm41.csv,FM41,continuous
UNEMP_MO,Time since last employed - mos,ext1_fm41.csv,FM41,continuous
EMP_5YRS,Has the patient been employed w/in the l,ext1_fm41.csv,FM41,continuous
OCCUPATN,Patient's main occupation,ext1_fm41.csv,FM41,categorical
INDUSTRY,What kind of place does patient work for,ext1_fm41.csv,FM41,categorical
YRS_WRKD,Total years of work,ext1_fm41.csv,FM41,continuous
RAND_ID,Randomized ID,ext1_fm42.csv,FM42,categorical
AV,Annual Visit,ext1_fm42.csv,FM42,categorical
SF_1,In general health is...,ext1_fm42.csv,FM42,categorical
SF_2,"Compared to one year ago, rate health no",ext1_fm42.csv,FM42,categorical
SF_3A,Limit vigorous activities,ext1_fm42.csv,FM42,categorical
SF_3B,Limit moderate activities,ext1_fm42.csv,FM42,categorical
SF_3C,Limit liftingor carrying groceries,ext1_fm42.csv,FM42,categorical
SF_3D,Limit climbing several flights of stairs,ext1_fm42.csv,FM42,categorical
SF_3E,Limit climbing one flight of stairs,ext1_fm42.csv,FM42,categorical
SF_3F,"Limit bending, kneeling or stooping",ext1_fm42.csv,FM42,categorical
SF_3G,Limit walking more than a mile,ext1_fm42.csv,FM42,categorical
SF_3H,Limit walking several blocks,ext1_fm42.csv,FM42,categorical
SF_3I,Limit walking one block,ext1_fm42.csv,FM42,categorical
SF_3J,Limit Bathing or dressing self,ext1_fm42.csv,FM42,categorical
SF_4A,Physical health limited amount of time,ext1_fm42.csv,FM42,categorical
SF_4B,Physical health - accomplished less,ext1_fm42.csv,FM42,categorical
SF_4C,Physical health - limited kind of activi,ext1_fm42.csv,FM42,categorical
SF_4D,Physical health - difficulty performing,ext1_fm42.csv,FM42,categorical
SF_5A,Emotional health - limited amount of tim,ext1_fm42.csv,FM42,categorical
SF_5B,Emotional health - accomplished less,ext1_fm42.csv,FM42,categorical
SF_5C,Emotional health - limited amount of tim,ext1_fm42.csv,FM42,categorical
SF_6,4 weeks - health interfered with social,ext1_fm42.csv,FM42,categorical
SF_7,4 weeks - how much bodily pain,ext1_fm42.csv,FM42,categorical
SF_8,4 weeks - pain interfered with normal wo,ext1_fm42.csv,FM42,categorical
SF_9A,4 weeks full of pep,ext1_fm42.csv,FM42,categorical
SF_9B,4 weeks very nervous,ext1_fm42.csv,FM42,categorical
SF_9C,4 weeks down in the dumps,ext1_fm42.csv,FM42,categorical
SF_9D,4 weeks calm and peaceful,ext1_fm42.csv,FM42,categorical
SF_9E,4 weeks lots of energy,ext1_fm42.csv,FM42,categorical
SF_9F,4 weeks down hearted and blue,ext1_fm42.csv,FM42,categorical
SF_9G,4 weeks worn out,ext1_fm42.csv,FM42,categorical
SF_9H,4 weeks happy,ext1_fm42.csv,FM42,categorical
SF_9I,4 weeks tired,ext1_fm42.csv,FM42,categorical
SF_9J,4 weeks physical health limits social ac,ext1_fm42.csv,FM42,categorical
SF_10A,Get sick easier,ext1_fm42.csv,FM42,categorical
SF_10B,Healthy as anybody,ext1_fm42.csv,FM42,categorical
SF_10C,Expect health to get worse,ext1_fm42.csv,FM42,categorical
SF_10D,Health is excellent,ext1_fm42.csv,FM42,categorical
