form_name,form_description,data_file_name,form_group_name
Form 55,Form 55 - Event Classification,fm55.sas7bdat,Patient Follow-Up
Form 50,Form 50 - Patient Event,fm50.sas7bdat,Patient Follow-Up
Form 49,Form 49 - Local Laboratory Report,fm49.sas7bdat,Patient Follow-Up
Form 48,Form 48 - ECG Summary,fm48.sas7bdat,Patient Follow-Up
Form 47,Form 47 - Chest X-Ray Summary,fm47.sas7bdat,Patient Follow-Up
Form 45,Form 45 - Protocol Review and Collection of Samples,,Patient Follow-Up
Form 44,Form 44 - Hydroxyurea Review,fm44.sas7bdat,Patient Follow-Up
Form 43,Form 43 - Medical Review and Examination,fm43.sas7bdat,Patient Follow-Up
Form 42,Form 42 - Health Status Questionnaire,fm42.sas7bdat,Patient Follow-Up
Form 41,Form 41 - Demographics,,Patient Follow-Up
Form 40,Form 40 - Patient Enrollment,fm40.sas7bdat,Patient Follow-Up
,,fm66.sas7bdat,Patient Follow-Up
,,hu_usag2.sas7bdat,Patient Follow-Up
,,patevts.sas7bdat,Patient Follow-Up
Form 41,Form 41 - Demographics,fm41.sas7bdat,Extension I
Form 42,Form 42 - Health Status Questionnaire,fm42.sas7bdat,Extension I
Form 43,Form 43 - Medical Review and Examination,fm43.sas7bdat,Extension I
Form 44,Form 44 - Hydroxyurea Review,fm44.sas7bdat,Extension I
Form 45,Form 45 - Protocol Review and Collection of Samples,fm45.sas7bdat,Extension I
Form 47,Form 47 - Chest X-Ray Summary,fm47.sas7bdat,Extension I
Form 48,Form 48 - ECG Summary,fm48.sas7bdat,Extension I
Form 49,Form 49 - Local Laboratory Report,fm49.sas7bdat,Extension I
Form 50,Form 50 - Patient Event,fm50.sas7bdat,Extension I
,,fm55.sas7bdat,Extension I
Form 66,Form 66 - Status of Patients Not Enrolled,fm66.sas7bdat,Extension I
Form 67,Form 67 - Arterial Blood Gases Analysis,fm67.sas7bdat,Extension I
Form 68,Form 68 - Spirometry Data Form,fm68.sas7bdat,Extension I
Form 69,Form 69 - HRCT of the Chest,fm69.sas7bdat,Extension I
Form 70,Form 70 - Patient Enrollment,fm70.sas7bdat,Extension I
,,fup_labs.sas7bdat,Extension I
,,hu_usag2.sas7bdat,Extension I
,,patevts.sas7bdat,Extension I
,,courses.sas7bdat,Clinical
,,crc.sas7bdat,Clinical
,,curstops.sas7bdat,Clinical
,,endp96a.sas7bdat,Clinical
,,f44_keep.sas7bdat,Clinical
Form 01,Form 01 - Eligibility Screening Form I,form01.sas7bdat,Clinical
Form 02,Form 02 - Eligibility Screening Form II,form02.sas7bdat,Clinical
Form 03,Form 03 - Demographics,form03.sas7bdat,Clinical
Form 04,Form 04 - Medical Examination and History,form04.sas7bdat,Clinical
Form 05,Form 05 - Patient Diary,form05.sas7bdat,Clinical
Form 07,Form 07 - Gel Electrophoresis Report,form07.sas7bdat,Clinical
Form 08,Form 08 - Request for Enrollment,form08.sas7bdat,Clinical
Form 09,Form 09 - Treatment Initiation,form09.sas7bdat,Clinical
Form 11,Form 11 - Health Status Survey,form11.sas7bdat,Clinical
Form 12,Form 12 - Profile of Mood States and Ladder of Life,form12.sas7bdat,Clinical
Form 14,Form 14 - Patients Usual Residence,form14.sas7bdat,Clinical
Form 20,Form 20 - Follow-Up Visit,form20.sas7bdat,Clinical
Form 22,Form 22 - Missed Visit,form22.sas7bdat,Clinical
Form 23,Form 23 - Six-Month Medical Review and Examination,form23.sas7bdat,Clinical
Form 25,Form 25 - Medical Contact,form25.sas7bdat,Clinical
Form 30,Form 30 - Toxicity Review,form30.sas7bdat,Clinical
Form 31,Form 31 - Study Treatment Inventory,form31.sas7bdat,Clinical
Form 32,Form 32 - Initiation of Treatment Stop Order,form32.sas7bdat,Clinical
Form 33,Form 33 - Patient Contact for Treatment Stop Order Office,form33.sas7bdat,Clinical
Form 34,Form 34 - Patient Contact for Treatment Stop Order Clinic,form34.sas7bdat,Clinical
Form 35,Form 35 - Restart Treatment Order,form35.sas7bdat,Clinical
,,form36.sas7bdat,Clinical
Form 37,Form 37 - Resume Treatment Order,form37.sas7bdat,Clinical
Form 39,Form 39 - Four-Week Telephone Follow-Up,form39.sas7bdat,Clinical
Form 44,Form 44 - Crisis Review Committee Event Classification Form,form44.sas7bdat,Clinical
Form 45,Form 45 - Death Notification,form45.sas7bdat,Clinical
,,form64.sas7bdat,Clinical
Form 70,Form 70 - Study Close-Out for Investigators,form70.sas7bdat,Clinical
Form 73,Form 73 - Study Close-Out for Clinic Director,form73.sas7bdat,Clinical
Form 74,Form 74 - Study Close-Out for MSH Assistant Coordinator,form74.sas7bdat,Clinical
Form 75,Form 75 - Study Close-Out for Participant,form75.sas7bdat,Clinical
,,lab.sas7bdat,Clinical
,,lab_8wk.sas7bdat,Clinical
,,msh.sas7bdat,Clinical
,,rx.sas7bdat,Clinical
,,scores.sas7bdat,Clinical
,,visits.sas7bdat,Clinical
