varname,LABEL,file,MEMNAME,picsure_type
subject_id,,alldata.csv,ALLDATA,categorical
redcap_repeat_instrument,,alldata.csv,ALLDATA,categorical
redcap_repeat_instance,,alldata.csv,ALLDATA,continuous
rand_trt,,alldata.csv,ALLDATA,categorical
ie_version,,alldata.csv,ALLDATA,continuous
ie_iok,,alldata.csv,ALLDATA,categorical
ie_iok_v2,,alldata.csv,ALLDATA,categorical
ie_arisymptoms___cou,,alldata.csv,ALLDATA,categorical
ie_arisymptoms___fev,,alldata.csv,ALLDATA,categorical
ie_arisymptoms___sob,,alldata.csv,ALLDATA,categorical
ie_arisymptoms___st,,alldata.csv,ALLDATA,categorical
ie_labstatus,,alldata.csv,ALLDATA,categorical
ie_epris,,alldata.csv,ALLDATA,categorical
ie_epreg,,alldata.csv,ALLDATA,categorical
ie_ebreast,,alldata.csv,ALLDATA,categorical
ie_eari,,alldata.csv,ALLDATA,categorical
ie_elate,,alldata.csv,ALLDATA,categorical
ie_eseizure,,alldata.csv,ALLDATA,categorical
ie_eporphyria,,alldata.csv,ALLDATA,categorical
ie_elongqt,,alldata.csv,ALLDATA,categorical
ie_eqtc500,,alldata.csv,ALLDATA,categorical
ie_eallergy,,alldata.csv,ALLDATA,categorical
ie_econtra,,alldata.csv,ALLDATA,categorical
ie_echlor,,alldata.csv,ALLDATA,categorical
ie_enpo,,alldata.csv,ALLDATA,categorical
ie_enocontact,,alldata.csv,ALLDATA,categorical
ie_prevenroll,,alldata.csv,ALLDATA,categorical
ie_equipoise,,alldata.csv,ALLDATA,categorical
ie_nene,,alldata.csv,ALLDATA,categorical
ie_nenespec,,alldata.csv,ALLDATA,continuous
ie_eligible,,alldata.csv,ALLDATA,continuous
ie_approved,,alldata.csv,ALLDATA,categorical
ie_enrolled,,alldata.csv,ALLDATA,categorical
ie_notenrolledreas,,alldata.csv,ALLDATA,continuous
ie_notenrolledreas_other,,alldata.csv,ALLDATA,continuous
cons_certify,,alldata.csv,ALLDATA,categorical
rand_dt,,alldata.csv,ALLDATA,continuous
rand_tm,,alldata.csv,ALLDATA,categorical
bl_age,,alldata.csv,ALLDATA,continuous
bl_sex,,alldata.csv,ALLDATA,categorical
bl_ethnic,,alldata.csv,ALLDATA,categorical
bl_race___1,,alldata.csv,ALLDATA,categorical
bl_race___othcat,,alldata.csv,ALLDATA,categorical
bl_race___5,,alldata.csv,ALLDATA,categorical
bl_race___6,,alldata.csv,ALLDATA,categorical
bl_height,,alldata.csv,ALLDATA,continuous
bl_weight,,alldata.csv,ALLDATA,continuous
bl_symptomdt,,alldata.csv,ALLDATA,continuous
bl_hospadmdt,,alldata.csv,ALLDATA,continuous
bl_hospadmtm,,alldata.csv,ALLDATA,categorical
bl_prehosp,,alldata.csv,ALLDATA,categorical
bl_randloc,,alldata.csv,ALLDATA,categorical
bl_ekgqtc,,alldata.csv,ALLDATA,continuous
bl_ekgdt,,alldata.csv,ALLDATA,continuous
bl_ekgtm,,alldata.csv,ALLDATA,categorical
charl_leuk,,alldata.csv,ALLDATA,categorical
charl_lymph,,alldata.csv,ALLDATA,categorical
charl_hemiplegia,,alldata.csv,ALLDATA,categorical
charl_cerebvasc,,alldata.csv,ALLDATA,categorical
charl_myoinfarc,,alldata.csv,ALLDATA,categorical
charl_congheart,,alldata.csv,ALLDATA,categorical
charl_perivasc,,alldata.csv,ALLDATA,categorical
charl_dementia,,alldata.csv,ALLDATA,categorical
charl_copd,,alldata.csv,ALLDATA,categorical
charl_asthma,,alldata.csv,ALLDATA,categorical
chart_oxygen,,alldata.csv,ALLDATA,categorical
charl_contis,,alldata.csv,ALLDATA,categorical
charl_ulcer,,alldata.csv,ALLDATA,categorical
charl_hypertension,,alldata.csv,ALLDATA,categorical
charl_cad,,alldata.csv,ALLDATA,categorical
charl_fatal,,alldata.csv,ALLDATA,categorical
charl_tumor,,alldata.csv,ALLDATA,categorical
charl_liver,,alldata.csv,ALLDATA,categorical
charl_diabetes,,alldata.csv,ALLDATA,categorical
charl_kidney,,alldata.csv,ALLDATA,categorical
rxhx_cortico,,alldata.csv,ALLDATA,categorical
rxhx_ace,,alldata.csv,ALLDATA,categorical
rxhx_arb,,alldata.csv,ALLDATA,categorical
rxhx_nsaids,,alldata.csv,ALLDATA,categorical
vit_hrh_1,,alldata.csv,ALLDATA,continuous
vit_spbl_1,,alldata.csv,ALLDATA,continuous
vit_vasop_1,,alldata.csv,ALLDATA,categorical
vit_rrh_1,,alldata.csv,ALLDATA,continuous
vit_spo2l_1,,alldata.csv,ALLDATA,continuous
