,Variable Name,Variable Description,Subcohort,Dataset,Dataset Description,Data Type,Mapped Instrument,Number Participants,Field Attributes
0,enroll_protocol,enroll_protocol in pediatric congenital cohort demographics.tsv.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,categorical,,1702,{'Pediatric Caregiver': 0}
1,enroll_site_path,enroll_site_path in pediatric congenital cohort demographics.tsv.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,categorical,,1702,"{'University of Utah (Pregnancy) \\ Columbia University': 9, ""Arkansas Children's Research Institute \\ Arkansas Children's Research Institute"": 0, ""Arkansas Children's Research Institute \\ Avera Research Institute"": 0, ""Arkansas Children's Research Institute \\ Dartmouth Hitchcock Medical Center"": 0, ""Arkansas Children's Research Institute \\ Kapiolani Medical Center"": 0, ""Arkansas Children's Research Institute \\ Medical University of South Carolina"": 0}"
2,enroll_date,enroll_date in pediatric congenital cohort demographics.tsv. Dates have been shifted to protect anonymity. Dates have been shifted to protect anonymity.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,categorical,,1702,Date
3,enroll_category,enroll_category in pediatric congenital cohort demographics.tsv.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,categorical,,1702,"{'Additional biological parent': 0, 'Caregiver': 0, 'Caregiver Infected': 0, 'Caregiver Uninfected': 0, 'Caregiver Unknown': 0, 'Non-consented Caregiver': 0}"
4,enroll_index_date,enroll_index_date in pediatric congenital cohort demographics.tsv. Dates have been shifted to protect anonymity. Dates have been shifted to protect anonymity.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,categorical,,1702,Date
5,sex_at_birth,sex_at_birth in pediatric congenital cohort demographics.tsv.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,categorical,,1702,"{'Female': 757, 'Male': 757, 'Unknown': 184}"
6,dob,dob in pediatric congenital cohort demographics.tsv. Dates have been shifted to protect anonymity.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,categorical,,1702,"{'2019': 1, '2020': 303, '2021': 275, '2022': 815, '2023': 308}"
7,age_at_enrollment,age_at_enrollment in pediatric congenital cohort demographics.tsv. Dates have been shifted to protect anonymity.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,continuous,,1702,"{'min': np.float64(0.0), 'max': np.float64(4.0), 'mean': np.float64(1.41)}"
8,enroll_zip_code,enroll_zip_code in pediatric congenital cohort demographics.tsv.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,continuous,,Variable Not Found,Variable Not Found
9,withdrawn,withdrawn in pediatric congenital cohort demographics.tsv.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,categorical,,1702,"{'N': 1679, 'Y': 23}"
10,withdraw_date,withdraw_date in pediatric congenital cohort demographics.tsv. Dates have been shifted to protect anonymity. Dates have been shifted to protect anonymity.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,categorical,,23,Date
11,deceased,deceased in pediatric congenital cohort demographics.tsv.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,categorical,,1702,{'N': 1699}
12,asq22_o9,asq22_o9 from form asq and visit 24month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (24month),categorical,ASQ,19,"{'No': 14, 'Yes': 5}"
13,bisq_nap,bisq_nap from form bisqr and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,bisqr,bisqr (enrollment),continuous,Bisqr,128,"{'min': np.float64(0.0), 'max': np.float64(2.0), 'mean': np.float64(1.1)}"
14,deceased_date,deceased_date in pediatric congenital cohort demographics.tsv. Dates have been shifted to protect anonymity. Dates have been shifted to protect anonymity.,Pediatric Congenital,Pediatric Congenital Demographics,RECOVER Pediatric Congenital Cohort Demographics,categorical,,3,{'null': 0}
15,bisq_naptimeh,bisq_naptimeh from form bisqr and visit 24month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,bisqr,bisqr (24month),continuous,Bisqr,272,"{'min': np.float64(0.0), 'max': np.float64(14.0), 'mean': np.float64(2.05)}"
