Variable / Field Name,Form Name,Section Header,Field type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
abg_dt_dly,dailyabg,ABG data,text,Date/time of ABG,,"Enter time (24h clock) only, not date",datetime_mdy,01/10/2019 00:00,31/12/2023 23:59,y,((([elig_eval_coral]='2' AND [enroll_coral]='1') OR [abg_dt_dly]<>'') AND (([enroll_coralreef]='1' OR ([elig_eval_coral] = '2' AND [enroll_coral] = '1') OR [abg_dt_dly]<> ''))),y,,,,, @HIDEBUTTON
studysite_petal,inclusion,PETAL site,dropdown,Study site (PETAL definition),"A01, ALIGNE - Baystate Medical Center [A01] |A03, ALIGNE - Brigham and Women's Hospital [A03] |A04, ALIGNE - MaineHealth [A04] |A06, ALIGNE - University of Florida Health [A06] |A05, ALIGNE - Yale New Haven Hospital [A05] |B01, Boston - Beth Israel Medical Center [B01] |B06, Boston - Hennepin County Medical Center [B06] |B02, Boston - Massachusetts General Hospital [B02] |B07, Boston - Southdale Hospital [B07] |B03, Boston - St. Vincent Hospital [B03] |B05, Boston - University of Minnesota Medical Center [B05] |B04, Boston - University of Mississippi Medical Center [B04] |C05, California - UCLA Ronald Reagan [C05] |C04, California - Stanford University Hospital [C04] |C06, California - U Texas Health Science Center [C06] |C03, California - UC Davis [C03] |C02, California - UCSF Fresno [C02] |C01, California - UCSF San Francisco [C01] |D04, Colorado - Denver Health Medical Center [D04] |D06, Colorado - St. Joseph Hospital (National Jewish) [D06] |D01, Colorado - University of Colorado Hospital [D01] |M05, Michigan - Detroit Receiving Hospital [M05] |M06, Michigan - Harper University Hospital [M06] |M02, Michigan - Henry Ford Medical Center [M02] |M03, Michigan - Indiana University Health Methodist Hospital [M03] |M04, Michigan - Sinai-Grace Hospital [M04] |M01, Michigan - University of Michigan Medical Center [M01] |N01, Montefiore-Sinai - Montefiore Moses [N01] |N04, Montefiore-Sinai - Montefiore North [N04] |N03, Montefiore-Sinai - Montefiore Weiler [N03] |N02, Montefiore-Sinai - Mt. Sinai Hospital [N02] |N05, Montefiore-Sinai - University of Arizona [N05] |H01, Ohio - Cleveland Clinic Foundation [H01] |H06, Ohio - Northwestern University [H06] |H05, Ohio - Ohio State East [H05] |H02, Ohio - Ohio State University Wexner Medical Center [H02] |H03, Ohio - University of Cincinnati Medical Center [H03] |W07, Pacific NW - Cedars-Sinai Medical Center [W07] |W01, Pacific NW - Harborview Medical Center [W01] |W05, Pacific NW - Oregon Health and Science University OHSU [W05] |W03, Pacific NW - Swedish Hospital First Hill [W03] |W02, Pacific NW - University of Washington Medical Center [W02] |P04, Pittsburgh - Penn State Hershey Medical Center [P04] |P06, Pittsburgh - Temple University Hospital [P06] |P02, Pittsburgh - UPMC Mercy [P02] |P01, Pittsburgh - UPMC Presbyterian [P01] |P03, Pittsburgh - UPMC Shadyside [P03] |S07, Southeast - Medical University of South Carolina [S07] |S06, Southeast - University of Kentucky [S06] |S04, Southeast - University Virginia Medical Center [S04] |S05, Southeast - VCU Medical Center [S05] |S01, Southeast - Wake Forest Baptist Health [S01] |U01, Utah - Intermountain Medical Center [U01] |U02, Utah - LDS Hospital [U02] |U03, Utah - McKay-Dee Hospital [U03] |U05, Utah - University of Utah Health Sciences Center [U05] |U04, Utah - Utah Valley Regional Medical Center [U04] |V04, Vanderbilt - Duke University Medical Center [V04] |V02, Vanderbilt - University Medical Center (LSU) [V02] |V03, Vanderbilt - University of North Carolina at Chapel Hill [V03] |V01, Vanderbilt - Vanderbilt University Medical Center [V01] |V05, Vanderbilt - Washington University in St. Louis [V05] |CCC, Clinical Coordinating Center [CCC]",,,,,,,y,,,,,
abg_fio2_dly,dailyabg,ABG data,text,FiO2,,"Enter ""0.21"" if breathing room air.<br><br>If oxygen reported in L/min, enter FiO2 after calculating based on formula: 0.21+0.03 x (liter/min flow)<br><br>Example: 3L NC oxygen = 0.21+0.09 = 0.30<br><br>Enter ""-99"" if missing""",number,-99,1,,((([elig_eval_coral]='2' AND [enroll_coral]='1') OR [abg_fio2_dly]<>'') AND (([enroll_coralreef]='1' OR ([elig_eval_coral] = '2' AND [enroll_coral] = '1') OR [abg_fio2_dly]<> ''))),y,,,,,
abg_paco2_dly,dailyabg,ABG data,text,PaCO2,,,integer,0,200,,((([elig_eval_coral]='2' AND [enroll_coral]='1') OR [abg_paco2_dly]<>'') AND (([enroll_coralreef]='1' OR ([elig_eval_coral] = '2' AND [enroll_coral] = '1') OR [abg_paco2_dly]<> ''))),y,,,,,
abg_pao2_dly,dailyabg,ABG data,text,PaO2,,,integer,10,760,,((([elig_eval_coral]='2' AND [enroll_coral]='1') OR [abg_pao2_dly]<>'') AND (([enroll_coralreef]='1' OR ([elig_eval_coral] = '2' AND [enroll_coral] = '1') OR [abg_pao2_dly]<> ''))),y,,,,,
abg_ph_dly,dailyabg,ABG data,text,pH,,"Enter two decimal places (e.g. ""7.30"")<br><br>If missing, enter ""-99.00""",number_2dp,6,8,,((([elig_eval_coral]='2' AND [enroll_coral]='1') OR [abg_ph_dly]<>'') AND (([enroll_coralreef]='1' OR ([elig_eval_coral] = '2' AND [enroll_coral] = '1') OR [abg_ph_dly]<> ''))),y,,,,,
address1_city,contact_information,Subject contact information for follow up. Stored locally unless needed for long-term follow up.Leave blank if unavailable,text,Primary address-City,,,,,,y,"((([dispo] <> ""0"" AND [dispo_death_date] = """" AND [dispo_late_death_yn] <> ""1"") OR [address1_city]<>'') AND ((([elig_eval_coral] = '2' AND [enroll_coral] = '1') OR [address1_city]<>'')))",,,,,,
cx_covid1_result,inclusion,Eligibility: COVID-19 testing/suspicion,radio,Results of subject's first COVID-19 test,"1, Positive| 0, Negative|9, Indeterminate",,,,,,"(([cx_covid1_pos_yn] = ""0"" OR [cx_covid_pos_ever_yn] = ""0"" OR [cx_covid1_result] <> '') OR [cx_covid1_result]<>'')",y,,,,," @HIDECHOICE = ""1"""
address1_state,contact_information,Subject contact information for follow up. Stored locally unless needed for long-term follow up.Leave blank if unavailable,text,Primary address-State,,,,,,y,"((([dispo] <> ""0"" AND [dispo_death_date] = """" AND [dispo_late_death_yn] <> ""1"") OR [address1_state]<>'') AND ((([elig_eval_coral] = '2' AND [enroll_coral] = '1') OR [address1_state]<>'')))",,,,,,
address1_street,contact_information,Subject contact information for follow up. Stored locally unless needed for long-term follow up.Leave blank if unavailable,text,Primary address-Street (part 1),,,,,,y,"((([dispo] <> ""0"" AND [dispo_death_date] = """" AND [dispo_late_death_yn] <> ""1"") OR [address1_street]<>'') AND ((([elig_eval_coral] = '2' AND [enroll_coral] = '1') OR [address1_street]<>'')))",,,,,,
