SELECT_VARIABLES_FIELDS,COMMENT_INSTRUCTION
REDCap subject ID ,"For most sites, this will be the PETAL subject ID. If electing to use a different number, this should be a code combining PETAL site ID with a UNIQUE number >/= 6 alpha-numeric digits. (Example: 'A03-00001' or 'U01-28453970'). "
Medical record number (MRN),"Enter ""0"" if site is not submitting MRN"
Total known number of COVID-19 tests completed,Number of times patient was known to have been tested for COVID-19 at study hospital
Any positive COVID-19 test?,This will be YES for all CORAL subjects.
Was positive COVID-19 test the first test? ,Answer based on their first test at study hospital
Was COVID-19 associated with an admission to a study hospital? ,This will be YES for all CORAL subjects. 
Did COVID-19 contribute to need for hospital admission?,"Answer ""Yes"" if COVID-19 symptoms (e.g. fever, shortness of breath), disease (e.g. pneumonia), or complications at least in part attributed to COVID-19 (e.g. hypoxemia, ARDS, encephalitis, renal failure) contributed to need for admission to hospital as documented by treating clinicians. "
Date/time of admission to study hospital ,Use admit time associated with this acute illness 
Eligibility symptoms ,"When evaluating symptom/history based elements:
\n\tIf history able to be obtained and symptom noted, choose ""Yes""
\n\tIf history was able to be obtained and symptom is either denied or
was not specifically noted, choose ""No""
\n\tIf clinicians unable to obtain any history, choose ""unknown"""
"Clinical suspicion of acute respiratory infection (ARI) despite not meeting criteria above (e.g. hypoxemia, diagnosis of pneumonia, bilateral pulmonary opacities)","Answer ""YES"" if documented diagnosis of respiratory infection OR treatment specifically for a pneumonia OR new hypoxemia OR bilateral opacities on chest imaging. (AT LEAST ONE SYMPTOM OR “ACUTE RESPIRATORY INFECTION” SHOULD BE “YES” FOR ALL CORAL SUBJECTS)"
ICU admit during hospitalization ,"Answer ""No"" if highest level of care was ""intermediate care"" or ""step down"" unit. "
Comfort care ,"Comfort care includes patients who are on hospice, ""comfort-focused care,"" ""comfort measures, or have ""comfort measures only"" code status. Review admission and hospital progress note for days #1-2."
PETAL subject ID ,Code combining site ID code with a sequential patient ID for all subjects site has enrolled in all PETAL studies (e.g. “A03-00232”). Obtain from PETAL website. 
CORAL subject ID ,Will only be used for prospective CORAL patients
Sex ,Enter sex at birth 
Patient location/living situation prior to onset of current illness episode ,"Obtain data from brief review of ED note and admission note. If no suggestion of living in facility and no suggestion of baseline functional limitation, default to ""home independently."" If has limitation & lives at home, but no evidence of professional home services, default to ""Home with help (unskilled...)"" "
Other situation ,Do not specify incarceration/legal custody in this free text field. 
Healthcare worker ,"Choose ""Yes"" if patient works in any capacity in a healthcare situation. "
Smoking/vaping status ,"Former smoker/vaper defined as having quit ≥4 weeks prior to presentation. Only answer “unknown” if patient’s history is completely unknown. Otherwise, If not specifically mentioned, assume “No.” "
Transferred from another facility,"Include only acute care settings (ED, acute care hospital). Does not include nursing homes or long-term acute care hospitals (LTACHs)."
External triage limitations on access to intensive care? ,"Examples include lack of ventilator availability and hospital policies limiting therapies available to that patient (e.g. intubation, ICU admission) based on age, comorbidities, or other factors. This does not include limitations based on patient’s expressed goals of care. "
Goals of care include limitations ,This is independent of whether an advanced directive or POLST was in place before hospital admission. Applicable data includes decisions made by the patient/LAR up through the time of admission.
Independent for ADLs,"ADLs include bathing, dressing, transferring, using the toilet, and eating. Obtain from review of ED, H&P, physical therapy notes, initial rehab admission note (if available after discharge)."
Frailty scale,"Obtain from review of ED, H&P, physical therapy notes, initial rehab admission note (if available after discharge). For baseline healthy patients without detailed data, assume patient is “well.”
\n\tVery fit: Robust, active, energetic, motivated; exercises regularly; they are the fittest for their age
\n\tWell: No active disease symptoms; active or exercises occasionally
\n\tManaging well: Medical problems are well controlled; not active beyond routine
walking
\n\tVulnerable: Slowed down; not dependent on others; symptoms limit activities
\n\tMildly frail: Evident slowing, higher order IADL dependency, impaired shopping or
walking outside and housework\
\n\tModerately frail: Needs help with all outside activities, has trouble with stairs, may
need help with bathing and dressing
\n\tSeverely frail: Completely dependent for personal care, not at high risk of dying within
6 months
\n\tVery severely frail: Completely dependent, approaching end of life, typically would
not recover from minor illness
\n\tTerminally ill: Approaching end of life"
Myocardial infarction*,"History of diagnosed or symptomatic MI, not ECG changes only"
Congestive heart failure*,History of symptomatic heart failure
Atrial arrhythmia,"Atrial fibrillation, atrial flutter, sick sinus syndrome"
Other (non-atrial) arrhythmia ,"Ventricular tachycardia, ventricular fibrillation, long QT syndrome, supraventricular tachycardia (SVT)"
Peripheral vascular disease*,"Claudication, arterial insufficiency, revascularization, AAA ≥6 cm"
Cerebrovascular disease (with mild or no residual or TIA)*,Transient ischemic attack (TIA) or CVA/stroke with mild or no residual symptoms
Hemiplegia*,Paraplegia or hemiplegia
Dementia*,Chronic cognitive deficit
Chronic pulmonary disease*,"Dyspnea at rest or with mild exertion, chronic O2 use, chronic hypercapnia"
Interstitial lung disease,"Interstitial lung disease, pulmonary fibrosis, interstitial pneumonitis, cryptogenic or other non-infectious organizing pneumonia, asbestosis, pulmonary sarcoidosis"
Asthma,Previously diagnosed by a physician
Home respiratory support,"If patient uses >1 type, select the highest intensity item."
Peptic ulcer disease*,History of treatment for ulcer disease
Mild liver disease*,"Without portal hypertension, includes chronic hepatitis"
Moderate or severe liver disease* ,Cirrhosis with portal hypertension
Diabetes without end-organ damage*,Excludes diet-controlled diabetes
Diabetes with end-organ damage,"Complicated by retinopathy, neuropathy, nephropathy"
Connective tissue disease*,"Lupus, polymyositis, MCTD, PMR, mod/severe RA, or other significant autoimmune disease"
Moderate or severe renal disease*,"Baseline Cr >3, dialysis, or kidney transplant"
Tumor without metastases*,"Answer ""No"" if >5 years since diagnosis"
Leukemia*,"AML, ALL, CLL, CML, and polycythemia vera"
HIV,"Answer ""Yes"" if HIV or AIDS"
