varname,LABEL,file,MEMNAME,picsure_type
EX_TYPE,X3. Exam Type,p002.csv,P002_FINAL,categorical
EX_NUM,X4. Exam Number,p002.csv,P002_FINAL,categorical
TCD_SEQ,X5. TCD sequence number,p002.csv,P002_FINAL,continuous
EXAM_RSN,B2. Reason for examination,p002.csv,P002_FINAL,categorical
H_H_DRAW,D1. Was a sample for hemoglobin/hematrocrit drawn at this visit,p002.csv,P002_FINAL,categorical
HEMOGLOB,D1b. Hemoglobin (g/dl),p002.csv,P002_FINAL,continuous
HEMAT,D1c. Hematocrit (%),p002.csv,P002_FINAL,continuous
DESTATUS,DESTATUS,p002.csv,P002_FINAL,categorical
FNAME,Blinded TCD exam file name,p002.csv,P002_FINAL,continuous
EXAM_INTP,Exam interpretation,p002.csv,P002_FINAL,categorical
HEAD_DI,Head diameter,p002.csv,P002_FINAL,continuous
RM1D,R M1 - depth,p002.csv,P002_FINAL,continuous
RM1VM,R M1 - TAMM velocity,p002.csv,P002_FINAL,continuous
RM1VS,R M1 - peak systolic velocity,p002.csv,P002_FINAL,continuous
RM1VD,R M1 - peak diastolic velocity,p002.csv,P002_FINAL,continuous
RM1PI,R M1 - pulsatility index,p002.csv,P002_FINAL,continuous
RM1RI,R M1 - resistivity index,p002.csv,P002_FINAL,continuous
LM1D,L M1 - depth,p002.csv,P002_FINAL,continuous
LM1VM,L M1 - TAMM velocity,p002.csv,P002_FINAL,continuous
LM1VS,L M1 - peak systolic velocity,p002.csv,P002_FINAL,continuous
LM1VD,L M1 - peak diastolic velocity,p002.csv,P002_FINAL,continuous
LM1PI,L M1 - pulsatility index,p002.csv,P002_FINAL,continuous
LM1RI,L M1 - resistivity index,p002.csv,P002_FINAL,continuous
RMCAD,R MCA - depth,p002.csv,P002_FINAL,continuous
RMCAVM,R MCA - TAMM velocity,p002.csv,P002_FINAL,continuous
RMCAVS,R MCA - peak systolic velocity,p002.csv,P002_FINAL,continuous
RMCAVD,R MCA - peak diastolic velocity,p002.csv,P002_FINAL,continuous
RMCAPI,R MCA - pulsatility index,p002.csv,P002_FINAL,continuous
RMCARI,R MCA - resistivity index,p002.csv,P002_FINAL,continuous
LMCAD,L MCA - depth,p002.csv,P002_FINAL,continuous
LMCAVM,L MCA - TAMM velocity,p002.csv,P002_FINAL,continuous
LMCAVS,L MCA - peak systolic velocity,p002.csv,P002_FINAL,continuous
LMCAVD,L MCA - peak diastolic velocity,p002.csv,P002_FINAL,continuous
LMCAPI,L MCA - pulsatility index,p002.csv,P002_FINAL,continuous
LMCARI,L MCA - resistivity index,p002.csv,P002_FINAL,continuous
RBIFD,R BIF - depth,p002.csv,P002_FINAL,continuous
RBIFVM,R BIF - TAMM velocity,p002.csv,P002_FINAL,continuous
RBIFVS,R BIF - peak systolic velocity,p002.csv,P002_FINAL,continuous
RBIFVD,R BIF - peak diastolic velocity,p002.csv,P002_FINAL,continuous
RBIFPI,R BIF - pulsatility index,p002.csv,P002_FINAL,continuous
RBIFRI,R BIF - resistivity index,p002.csv,P002_FINAL,continuous
LBIFD,L BIF - depth,p002.csv,P002_FINAL,continuous
LBIFVM,L BIF - TAMM velocity,p002.csv,P002_FINAL,continuous
LBIFVS,L BIF - peak systolic velocity,p002.csv,P002_FINAL,continuous
LBIFVD,L BIF - peak diastolic velocity,p002.csv,P002_FINAL,continuous
LBIFPI,L BIF - pulsatility index,p002.csv,P002_FINAL,continuous
LBIFRI,L BIF - resistivity index,p002.csv,P002_FINAL,continuous
RACAD,R ACA - depth,p002.csv,P002_FINAL,continuous
RACAVM,R ACA - TAMM velocity,p002.csv,P002_FINAL,continuous
RACAVS,R ACA - peak systolic velocity,p002.csv,P002_FINAL,continuous
RACAVD,R ACA - peak diastolic velocity,p002.csv,P002_FINAL,continuous
RACAPI,R ACA - pulsatility index,p002.csv,P002_FINAL,continuous
RACARI,R ACA - resistivity index,p002.csv,P002_FINAL,continuous
LACAD,L ACA - depth,p002.csv,P002_FINAL,continuous
LACAVM,L ACA - TAMM velocity,p002.csv,P002_FINAL,continuous
LACAVS,L ACA - peak systolic velocity,p002.csv,P002_FINAL,continuous
LACAVD,L ACA - peak diastolic velocity,p002.csv,P002_FINAL,continuous
LACAPI,L ACA - pulsatility index,p002.csv,P002_FINAL,continuous
LACARI,L ACA - resistivity index,p002.csv,P002_FINAL,continuous
RDICAD,R dICA - depth,p002.csv,P002_FINAL,continuous
RDICAVM,R dICA - TAMM velocity,p002.csv,P002_FINAL,continuous
RDICAVS,R dICA - peak systolic velocity,p002.csv,P002_FINAL,continuous
RDICAVD,R dICA - peak diastolic velocity,p002.csv,P002_FINAL,continuous
RDICAPI,R dICA - pulsatility index,p002.csv,P002_FINAL,continuous
RDICARI,R dICA - resistivity index,p002.csv,P002_FINAL,continuous
LDICAD,L dICA - depth,p002.csv,P002_FINAL,continuous
LDICAVM,L dICA - TAMM velocity,p002.csv,P002_FINAL,continuous
LDICAVS,L dICA - peak systolic velocity,p002.csv,P002_FINAL,continuous
LDICAVD,L dICA - peak diastolic velocity,p002.csv,P002_FINAL,continuous
LDICAPI,L dICA - pulsatility index,p002.csv,P002_FINAL,continuous
LDICARI,L dICA - resistivity index,p002.csv,P002_FINAL,continuous
RPCAD,R PCA - depth,p002.csv,P002_FINAL,continuous
RPCAVM,R PCA - TAMM velocity,p002.csv,P002_FINAL,continuous
RPCAVS,R PCA - peak systolic velocity,p002.csv,P002_FINAL,continuous
RPCAVD,R PCA - peak diastolic velocity,p002.csv,P002_FINAL,continuous
RPCAPI,R PCA - pulsatility index,p002.csv,P002_FINAL,continuous
RPCARI,R PCA - resistivity index,p002.csv,P002_FINAL,continuous
LPCAD,L PCA - depth,p002.csv,P002_FINAL,continuous
LPCAVM,L PCA - TAMM velocity,p002.csv,P002_FINAL,continuous
LPCAVS,L PCA - peak systolic velocity,p002.csv,P002_FINAL,continuous
LPCAVD,L PCA - peak diastolic velocity,p002.csv,P002_FINAL,continuous
LPCAPI,L PCA - pulsatility index,p002.csv,P002_FINAL,continuous
LPCARI,L PCA - resistivity index,p002.csv,P002_FINAL,continuous
RTOBD,R TOB- depth,p002.csv,P002_FINAL,continuous
RTOBVM,R TOB- TAMM velocity,p002.csv,P002_FINAL,continuous
RTOBVS,R TOB - peak systolic velocity,p002.csv,P002_FINAL,continuous
RTOBVD,R TOB - peak diastolic velocity,p002.csv,P002_FINAL,continuous
RTOBPI,R TOB - pulsatility index,p002.csv,P002_FINAL,continuous
RTOBRI,R TOB - resistivity index,p002.csv,P002_FINAL,continuous
LTOBD,L TOB - depth,p002.csv,P002_FINAL,continuous
LTOBVM,L TOB - TAMM velocity,p002.csv,P002_FINAL,continuous
LTOBVS,L TOB - peak systolic velocity,p002.csv,P002_FINAL,continuous
LTOBVD,L TOB - peak diastolic velocity,p002.csv,P002_FINAL,continuous
LTOBPI,L TOB - pulsatility index,p002.csv,P002_FINAL,continuous
LTOBRI,L TOB - resistivity index,p002.csv,P002_FINAL,continuous
BASD,BAS - depth,p002.csv,P002_FINAL,continuous
BASVM,BAS - TAMM velocity,p002.csv,P002_FINAL,continuous
BASVS,BAS - peak systolic velocity,p002.csv,P002_FINAL,continuous
BASVD,BAS - peak diastolic velocity,p002.csv,P002_FINAL,continuous
BASPI,BAS - pulsatility index,p002.csv,P002_FINAL,continuous
BASRI,BAS - resistivity index,p002.csv,P002_FINAL,continuous
maxvel,"<created variable> TAMM velocity (M1,MCA,dICA,BIF)",p002.csv,P002_FINAL,continuous
maxvell,"<created variable> TAMM velocity - left side (M1,MCA,dICA,BIF)",p002.csv,P002_FINAL,continuous
maxvelr,"<created variable> TAMM velocity - right side (M1,MCA,dICA,BIF)",p002.csv,P002_FINAL,continuous
vistype,<created variable> VISIT TYPE,p002.csv,P002_FINAL,categorical
ldu_id,ID for public use datasets,p002.csv,P002_FINAL,categorical
compdfrmrand,<created variable> A2. Date Form 2 completed as days from RAND visit,p002.csv,P002_FINAL,continuous
daterand_dfrmrand,<created variable> Date blinded TCD exam sent to MCG as days from RAND visit,p002.csv,P002_FINAL,continuous
dumpdt_frmrand,<created variable> Date TCD exam results received as days from RAND visit,p002.csv,P002_FINAL,continuous
eventdt_frmrand,<created variable> B2a. Date of neurological event as days from RAND visit,p002.csv,P002_FINAL,continuous
examdt_frmrand,<created variable> B1. Date of TCD exam from Form 2 as days from RAND visit,p002.csv,P002_FINAL,continuous
exdated_frmrand,<created variable> Date of TCD exam in TCD files as days from RAND,p002.csv,P002_FINAL,continuous
hhdate_frmrand,<created variable> D1a. Date sample for CBC drawn as days from RAND visit,p002.csv,P002_FINAL,continuous
preaddte_frmrand,<created variable> Date of TCD exam reading by Primary reader as days from RAND visit,p002.csv,P002_FINAL,continuous
sreaddte_frmrand,<created variable> Date of TCD exam reading by Secondary reader as days from RAND visit,p002.csv,P002_FINAL,continuous
EX_TYPE,X3. Exam Type,p003.csv,P003_FINAL,categorical
EX_NUM,X4. Exam Number,p003.csv,P003_FINAL,continuous
DESTATUS,DESTATUS,p003.csv,P003_FINAL,categorical
DECISION,B1. Transfusion elected for primary stroke prevention?,p003.csv,P003_FINAL,categorical
REASON1,B1a1. Reason for decision (1),p003.csv,P003_FINAL,continuous
REASON2,B1a2. Reason for decision (2),p003.csv,P003_FINAL,continuous
REASON3,B1a3. Reason for decision (3),p003.csv,P003_FINAL,continuous
SP_OTHR,B1a4. Specify other reason child not placed on transfusion,p003.csv,P003_FINAL,continuous
vistype,<created variable> VISIT TYPE,p003.csv,P003_FINAL,categorical
ldu_id,ID for public use datasets,p003.csv,P003_FINAL,categorical
comp_dfrmrand,<created variable> A2. Date form completed as days from RAND visit,p003.csv,P003_FINAL,continuous
DESTATUS,DESTATUS,p005.csv,P005_FINAL,categorical
