varname,LABEL,file,MEMNAME,picsure_type
SPECIMENID,Specimen ID,adecho_r.csv,ADECHO_R,continuous
PT_ID,Randomized ID,adecho_r.csv,ADECHO_R,continuous
DAY,Day,adecho_r.csv,ADECHO_R,continuous
AGE_TRUNC,"Age (yrs), truncated to 15-60",adecho_r.csv,ADECHO_R,continuous
SEX,Sex,adecho_r.csv,ADECHO_R,categorical
SBP,SBP (mmHg),adecho_r.csv,ADECHO_R,continuous
DBP,DBP (mmHg),adecho_r.csv,ADECHO_R,continuous
TRJ,TRJ (m/s),adecho_r.csv,ADECHO_R,continuous
RAP,RAP (mmHg),adecho_r.csv,ADECHO_R,continuous
LVF,LVF (N/Ab),adecho_r.csv,ADECHO_R,categorical
LVEF,LVEF (%),adecho_r.csv,ADECHO_R,continuous
AR,AR,adecho_r.csv,ADECHO_R,categorical
MR,MR,adecho_r.csv,ADECHO_R,categorical
TR,TR,adecho_r.csv,ADECHO_R,categorical
SEPTUM,Septum (mm),adecho_r.csv,ADECHO_R,continuous
LVED,LVED (mm),adecho_r.csv,ADECHO_R,continuous
PW,PW (mm),adecho_r.csv,ADECHO_R,continuous
LVES,LVES (mm),adecho_r.csv,ADECHO_R,continuous
AO_SINUS,Ao sinus (mm),adecho_r.csv,ADECHO_R,continuous
LA_DIAM,LA diam (mm),adecho_r.csv,ADECHO_R,continuous
LVOT_DIAM,LVOT diam (mm),adecho_r.csv,ADECHO_R,continuous
LVOT_DIAM1,LVOT Diam (cm),adecho_r.csv,ADECHO_R,continuous
LV_MASS,LV Mass (g),adecho_r.csv,ADECHO_R,continuous
LV_MASS_INDEX,LV Mass Index (g/m^2),adecho_r.csv,ADECHO_R,continuous
PERICARDIAL_EFFUSION,Pericardial effusion (Y/N),adecho_r.csv,ADECHO_R,categorical
RVOT_PW_ACC_TIME,RVOT PW acc time (msec),adecho_r.csv,ADECHO_R,continuous
RV_PW_EJECTION_TIME,RV PW ejection time (msec),adecho_r.csv,ADECHO_R,continuous
TVI_OF_RVOT,TVI of RVOT (cm),adecho_r.csv,ADECHO_R,continuous
PVR,PVR (Wood Units),adecho_r.csv,ADECHO_R,continuous
CW_PR_DOPPLER_END_DIASTOLIC_VEL,CW PR Doppler end-diastolic velocity (m/s),adecho_r.csv,ADECHO_R,continuous
PA_DIASTOLIC_PRESSURE,PA Diastolic Pressure (mmHg),adecho_r.csv,ADECHO_R,continuous
CW_PR_DOPPLER_PEAK_INITIAL_VEL,CW PR Doppler peak initial velocity (m/s),adecho_r.csv,ADECHO_R,continuous
MEAN_PAP,Mean PAP (mmHg),adecho_r.csv,ADECHO_R,continuous
DIASTOLIC_LV_DIMENSION_PARALLEL,Diastolic LV dimension parallel to septum: D2 (mm),adecho_r.csv,ADECHO_R,continuous
DIASTOLIC_LV_DIMENSION_PERPENDIC,Diastolic LV dimension perpendicular to septum: D1 (mm),adecho_r.csv,ADECHO_R,continuous
DIASTOLIC_ECCENTRICITY_INDEX,Diastolic Eccentricity Index (D2/D1),adecho_r.csv,ADECHO_R,continuous
SYSTOLIC_LV_DIMENSION_PARALLEL,Systolic LV dimension parallel to septum: D2 (mm),adecho_r.csv,ADECHO_R,continuous
SYSTOLIC_LV_DIMENSION_PERPENDIC,Systolic LV dimension perpendicular to septum: D1 (mm),adecho_r.csv,ADECHO_R,continuous
SYSTOLIC_ECCENTRICITY_INDEX,Systolic Eccentricity Index (D2/D1),adecho_r.csv,ADECHO_R,continuous
EJECFRACSIMPSON,Ejection fraction Simpson's (%),adecho_r.csv,ADECHO_R,continuous
EJECFRACVISUALNOSIMP,Ejection fraction (visual if no Simp) (%),adecho_r.csv,ADECHO_R,continuous
LA_AREA_PLANIMETRY_4CH,LA area planimetry 4CH (cm^2),adecho_r.csv,ADECHO_R,continuous
LA_LENGTH_4CH,LA length 4CH (cm),adecho_r.csv,ADECHO_R,continuous
LA_AREA_PLANIMETRY_2CH,LA area planimetry 2CH (cm^2),adecho_r.csv,ADECHO_R,continuous
LA_LENGTH_2CH,LA length 2CH (cm),adecho_r.csv,ADECHO_R,continuous
LA_VOLUME,LA Volume (mL),adecho_r.csv,ADECHO_R,continuous
RA_AREA,RA area,adecho_r.csv,ADECHO_R,continuous
TR_JET_VEL,TR jet vel (m/s),adecho_r.csv,ADECHO_R,continuous
LVOT_VTI,LVOT VTI (cm),adecho_r.csv,ADECHO_R,continuous
LA_VOL_BSA,LA Vol/BSA (mL/m^2),adecho_r.csv,ADECHO_R,continuous
HR_DURING_AORTIC_DOPPLER,HR during aortic Doppler (beats/min),adecho_r.csv,ADECHO_R,continuous
STROKE_VOLUME,Stroke Volume (mL),adecho_r.csv,ADECHO_R,continuous
CARDIAC_OUTPUT,Cardiac Output (L/min),adecho_r.csv,ADECHO_R,continuous
